TCODE,TIMESTAMP,FREQ,BW,TXID,AMP,DEVCNT,X,Y,Z,TLW
488,2015-08-19T15:38:37,2412000000,22000000,3840169614833681540,-86.0,1,75.18,11.62,0.0,0
488,2015-08-19T15:38:37,2412000000,22000000,2848812985857999950,-34.8188056946,4,35.5986694856,33.9292859108,0.0,0
488,2015-08-19T15:38:37,2412000000,22000000,3840169614769521742,-32.0,4,35.8565842086,34.2864815641,0.0,0
489,2015-08-19T15:38:37,2412000000,22000000,2848812985739314019,-34.0,3,35.9746484071,33.0522446956,0.0,0
489,2015-08-19T15:38:37,2412000000,22000000,3840169614833681540,-84.0,3,38.1837670358,42.1677998509,0.0,0
489,2015-08-19T15:38:37,2412000000,22000000,2848812985857999950,-34.4957618713,4,35.6784285996,33.9715799074,0.0,0
489,2015-08-19T15:38:37,2412000000,22000000,2708356959627183185,-57.9822998047,4,31.325155202,30.4825977256,0.0,0
489,2015-08-19T15:38:37,2412000000,22000000,3840169614769521742,-32.0,4,36.0370104315,34.0869937126,0.0,0
489,2015-08-19T15:38:37,2412000000,22000000,2654313588036535428,-86.0,2,50.2909228208,26.4923362168,0.0,0
490,2015-08-19T15:38:38,2412000000,22000000,2848812985739314019,-34.0,1,37.71,34.01,0.0,0
490,2015-08-19T15:38:38,2412000000,22000000,3840169614833681540,-84.0,2,20.7120954092,56.5941639737,0.0,0
490,2015-08-19T15:38:38,2412000000,22000000,3840169614827193480,-90.0,1,4.33,21.15,0.0,0
490,2015-08-19T15:38:38,2412000000,22000000,2848812985857999950,-34.4957618713,4,35.6471507486,33.9501910529,0.0,0
490,2015-08-19T15:38:38,2412000000,22000000,2708356959627183185,-57.9822998047,4,32.7420325432,31.642217557,0.0,0
490,2015-08-19T15:38:38,2412000000,22000000,3840169614769521742,-32.0,4,36.0370104315,34.0869937126,0.0,0
490,2015-08-19T15:38:38,2412000000,22000000,2654313588036535428,-86.0,1,37.71,34.01,0.0,0
491,2015-08-19T15:38:38,2412000000,22000000,2630951315286918280,-84.0,1,12.12,68.01,0.0,0
491,2015-08-19T15:38:38,2412000000,22000000,3840169614827193480,-84.0,3,43.6222500418,25.7171931187,0.0,0
491,2015-08-19T15:38:38,2412000000,22000000,2848812985857999950,-34.517162323,4,35.693013814,33.880202709,0.0,0
491,2015-08-19T15:38:38,2412000000,22000000,2708356959627183185,-60.28125,4,30.6423997397,31.0688716546,0.0,0
491,2015-08-19T15:38:38,2412000000,22000000,3840169614769521742,-31.0,4,36.1268406435,34.2461663137,0.0,0
491,2015-08-19T15:38:38,2412000000,22000000,2412244974914897032,-81.0,2,19.7674147948,57.8493082055,0.0,0
491,2015-08-19T15:38:38,2412000000,22000000,2956055188205077493,-74.0,1,75.18,11.62,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,2848812985739314019,-34.0,3,37.2024919425,34.9060941756,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,2630951315286918280,-85.0,1,37.71,34.01,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,2983921193709863973,-88.0,1,75.18,11.62,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,3840169614827193480,-84.0,3,34.5509547506,44.7856287734,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,2848812985857999950,-34.5887947083,4,35.6233589491,33.8759166858,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,3840169614769521742,-33.7999992371,4,35.2025321003,34.4093853022,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,2708356959627183185,-55.2213745117,4,34.8374125379,30.848849692,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,2412244974857225294,-26.0,4,36.7043225373,34.1727714755,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,3840169614833681540,-82.0,1,12.12,68.01,0.0,0
492,2015-08-19T15:38:38,2412000000,22000000,2249551794131043464,-83.1304321289,2,21.3361995992,55.7649516853,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,2848812985739314019,-34.0,3,37.2024919425,34.9060941756,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,2630951315286918280,-85.0,1,37.71,34.01,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,2983921193709863973,-88.0,1,75.18,11.62,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,3840169614827193480,-84.0,3,34.5509547506,44.7856287734,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,2848812985857999950,-34.5887947083,4,35.6233589491,33.8759166858,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,3840169614769521742,-33.7999992371,4,35.2025321003,34.4093853022,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,2708356959627183185,-55.2213745117,4,34.8374125379,30.848849692,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,2412244974857225294,-26.0,4,36.7043225373,34.1727714755,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,3840169614833681540,-82.0,1,12.12,68.01,0.0,0
493,2015-08-19T15:38:38,2412000000,22000000,2249551794131043464,-83.1304321289,2,21.3361995992,55.7649516853,0.0,0
494,2015-08-19T15:38:38,2412000000,22000000,2708356959627183185,-57.9788360596,4,30.7517953116,30.8797561815,0.0,0
494,2015-08-19T15:38:38,2412000000,22000000,2848812985857999950,-34.0660247803,4,35.9416929307,33.8756255984,0.0,0
494,2015-08-19T15:38:38,2412000000,22000000,3840169614769521742,-31.0,4,35.663265745,34.0552336975,0.0,0
494,2015-08-19T15:38:38,2412000000,22000000,2412244974857225294,-28.0,3,37.1674378824,33.5865248106,0.0,0
494,2015-08-19T15:38:38,2412000000,22000000,2956055188205077493,-74.0,1,75.18,11.62,0.0,0
495,2015-08-19T15:38:39,2412000000,22000000,2848812985739314019,-34.0,4,36.0093586935,34.0211461772,0.0,0
495,2015-08-19T15:38:39,2412000000,22000000,3840169614827193480,-82.8000030518,3,30.7755103952,47.0297602742,0.0,0
495,2015-08-19T15:38:39,2412000000,22000000,2848812985857999950,-34.578250885,4,35.578066188,33.8790684432,0.0,0
495,2015-08-19T15:38:39,2412000000,22000000,3840169614769521742,-29.3333339691,4,36.5406880567,34.1656904505,0.0,0
495,2015-08-19T15:38:39,2412000000,22000000,2708356959627183185,-57.4586448669,4,30.7224022011,31.6819162878,0.0,0
495,2015-08-19T15:38:39,2412000000,22000000,2412244974857225294,-30.0,3,37.2024919425,34.9060941756,0.0,0
495,2015-08-19T15:38:39,2412000000,22000000,2412244974914897032,-87.0,1,37.71,34.01,0.0,0
495,2015-08-19T15:38:39,2412000000,22000000,2368052961132020814,-26.0,3,37.90177243,34.1974139656,0.0,0
496,2015-08-19T15:38:39,2412000000,22000000,2848812985739314019,-34.0,4,36.0093586935,34.0211461772,0.0,0
496,2015-08-19T15:38:39,2412000000,22000000,3840169614827193480,-82.8000030518,3,30.7755103952,47.0297602742,0.0,0
496,2015-08-19T15:38:39,2412000000,22000000,2848812985857999950,-34.578250885,4,35.578066188,33.8790684432,0.0,0
496,2015-08-19T15:38:39,2412000000,22000000,3840169614769521742,-29.3333339691,4,36.5406880567,34.1656904505,0.0,0
496,2015-08-19T15:38:39,2412000000,22000000,2708356959627183185,-57.4586448669,4,30.7224022011,31.6819162878,0.0,0
496,2015-08-19T15:38:39,2412000000,22000000,2412244974857225294,-30.0,3,37.2024919425,34.9060941756,0.0,0
496,2015-08-19T15:38:39,2412000000,22000000,2412244974914897032,-87.0,1,37.71,34.01,0.0,0
496,2015-08-19T15:38:39,2412000000,22000000,2368052961132020814,-26.0,3,37.90177243,34.1974139656,0.0,0
497,2015-08-19T15:38:39,2412000000,22000000,2249551794131043464,-81.1999969482,2,21.1555092722,56.0050248045,0.0,0
497,2015-08-19T15:38:39,2412000000,22000000,2708356959627183185,-59.9629631042,4,30.5813405523,30.2209637675,0.0,0
497,2015-08-19T15:38:39,2412000000,22000000,2848812985857999950,-34.4285697937,4,35.6969326597,33.8659240932,0.0,0
497,2015-08-19T15:38:39,2412000000,22000000,3840169614769521742,-33.0,4,35.5960635506,34.3036785002,0.0,0
497,2015-08-19T15:38:39,2412000000,22000000,2412244974857225294,-28.0,4,36.4926602232,34.0660239649,0.0,0
498,2015-08-19T15:38:39,2412000000,22000000,2249551794131043464,-81.1999969482,2,21.1555092722,56.0050248045,0.0,0
498,2015-08-19T15:38:39,2412000000,22000000,2708356959627183185,-59.9629631042,4,29.1340575538,30.1472026698,0.0,0
498,2015-08-19T15:38:39,2412000000,22000000,2412244974857225294,-28.0,2,37.2135691825,34.6695798279,0.0,0
498,2015-08-19T15:38:39,2412000000,22000000,3840169614769521742,-33.0,4,35.2287610004,34.2290016515,0.0,0
498,2015-08-19T15:38:39,2412000000,22000000,2848812985857999950,-34.4285697937,4,35.7767420662,33.9234678598,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,2293743807856247944,-86.0,1,37.71,34.01,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,2848812985739314019,-52.0,1,4.33,21.15,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,3840169614833681540,-86.0,1,75.18,11.62,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,3840169614827193480,-84.0,3,31.854001412,46.545765573,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,3840169614769521742,-31.0,4,35.9400577693,34.2166816659,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,2708356959627183185,-60.8571434021,4,25.7645326399,29.4186061276,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,2848812985857999950,-34.7163734436,4,35.649206128,33.8715008487,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,2412244974914897032,-88.0,1,37.71,34.01,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,3032897921332151432,-74.0,3,28.6150836519,50.0686643831,0.0,0
499,2015-08-19T15:38:39,2412000000,22000000,2956055188205077493,-76.0,2,62.5990771792,19.1376637832,0.0,0
500,2015-08-19T15:38:40,2412000000,22000000,3840169614827193480,-84.0,1,12.12,68.01,0.0,0
500,2015-08-19T15:38:40,2412000000,22000000,2848812985857999950,-34.4693336487,4,35.7789255789,33.8977228851,0.0,0
500,2015-08-19T15:38:40,2412000000,22000000,2708356959627183185,-64.4881896973,4,27.9063546119,31.8548771181,0.0,0
500,2015-08-19T15:38:40,2412000000,22000000,3840169614769521742,-34.0,4,34.7640520281,34.297840834,0.0,0
500,2015-08-19T15:38:40,2412000000,22000000,3032897921332151432,-74.0,1,12.12,68.01,0.0,0
500,2015-08-19T15:38:40,2412000000,22000000,2956055188205077493,-74.0,1,75.18,11.62,0.0,0
501,2015-08-19T15:38:40,2412000000,22000000,2708356959627183185,-64.4881896973,4,26.8329644836,34.313237705,0.0,0
501,2015-08-19T15:38:40,2412000000,22000000,2848812985857999950,-34.4693336487,4,35.7647628529,33.9181432051,0.0,0
501,2015-08-19T15:38:40,2412000000,22000000,3840169614769521742,-34.0,4,34.7640520281,34.297840834,0.0,0
