TCODE,TIMESTAMP,FREQ,BW,TXID,AMP,DEVCNT,X,Y,Z,TLW
15,2015-08-20T15:48:33,2412000000,22000000,2708356959627183185,-75.2727279663,1,37,34,0,0
15,2015-08-20T15:48:33,2412000000,22000000,3840169614827193480,-56.2000007629,5,99,63,0,0
15,2015-08-20T15:48:33,2412000000,22000000,2848812985857999950,-37.1965827942,6,35,34,0,0
15,2015-08-20T15:48:33,2412000000,22000000,2249551794131043464,-58.0,3,98,63,0,0
15,2015-08-20T15:48:33,2412000000,22000000,3840169614769521742,-34.0,6,35,35,0,0
15,2015-08-20T15:48:33,2412000000,22000000,2412244974914897032,-56.0,3,100,63,0,0
16,2015-08-20T15:48:33,2412000000,22000000,3840169614833681540,-66.0,4,96,64,0,0
16,2015-08-20T15:48:33,2412000000,22000000,2708356959627183185,-62.5,1,75,11,0,0
16,2015-08-20T15:48:33,2412000000,22000000,3840169614827193480,-56.0,5,99,63,0,0
16,2015-08-20T15:48:33,2412000000,22000000,3840169614769521742,-35.0,6,34,35,0,0
16,2015-08-20T15:48:33,2412000000,22000000,2293743807856247944,-56.0,5,97,63,0,0
16,2015-08-20T15:48:33,2412000000,22000000,2848812985857999950,-54.0,2,27,17,0,0
16,2015-08-20T15:48:33,2412000000,22000000,2412244974914897032,-56.0,2,100,64,0,0
17,2015-08-20T15:48:33,2412000000,22000000,2293743807856247944,-56.0,3,99,63,0,0
17,2015-08-20T15:48:33,2412000000,22000000,3005876405172307080,-60.0,2,100,64,0,0
17,2015-08-20T15:48:33,2412000000,22000000,3840169614833681540,-66.0,4,97,64,0,0
17,2015-08-20T15:48:33,2412000000,22000000,2708356959627183185,-76.6666641235,1,37,34,0,0
17,2015-08-20T15:48:33,2412000000,22000000,2412244974914897032,-87.3333358765,1,75,11,0,0
17,2015-08-20T15:48:33,2412000000,22000000,2848812985857999950,-36.6086959839,5,35,34,0,0
17,2015-08-20T15:48:33,2412000000,22000000,3840169614802224209,-48.0,2,74,11,0,0
17,2015-08-20T15:48:33,2412000000,22000000,2670921200032482354,-88.0,1,71,86,0,0
17,2015-08-20T15:48:33,2412000000,22000000,3840169614769521742,-34.424243927,6,35,35,0,0
17,2015-08-20T15:48:33,2412000000,22000000,3840169614827193480,-58.0,4,99,64,0,0
17,2015-08-20T15:48:33,2412000000,22000000,2249551794131043464,-87.5294113159,1,75,11,0,0
18,2015-08-20T15:48:34,2412000000,22000000,2412244974914897032,-57.4285697937,4,98,64,0,0
18,2015-08-20T15:48:34,2412000000,22000000,2251803602534663304,-58.0,3,99,64,0,0
18,2015-08-20T15:48:34,2412000000,22000000,3840169614833681540,-64.9014053345,5,95,63,0,0
18,2015-08-20T15:48:34,2412000000,22000000,3840169614802224209,-68.0,4,39,44,0,0
18,2015-08-20T15:48:34,2412000000,22000000,3840169614827193480,-58.0,5,98,63,0,0
18,2015-08-20T15:48:34,2412000000,22000000,2293743807856247944,-58.0,2,100,63,0,0
18,2015-08-20T15:48:34,2412000000,22000000,3840169614769521742,-33.0,5,38,33,0,0
18,2015-08-20T15:48:34,2412000000,22000000,2708356959627183185,-64.0,2,71,13,0,0
