TCODE,TIMESTAMP,TXID,FREQ,BW,AMP,DEVCNT,X,Y,Z
7,2015-07-31T16:42:07,64847492,540062720,14642,0,2,-79.54,47.37,8.00
7,2015-07-31T16:42:07,63382935,540128128,9761,0,2,-81.16,43.10,8.00
7,2015-07-31T16:42:07,54718731,540188864,4880,0,1,-78.18,50.92,8.00
7,2015-07-31T16:42:07,41153804,552996800,14128,0,1,-61.87,69.79,8.00
7,2015-07-31T16:42:07,27354086,577580416,14642,0,4,-73.35,77.10,8.00
7,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
7,2015-07-31T16:42:07,57986540,589865216,4880,0,1,-102.89,95.06,8.00
8,2015-07-31T16:42:07,4111211,500019808,34164,0,1,-73.90,62.15,8.00
8,2015-07-31T16:42:07,41824285,500008800,4880,0,1,-73.90,62.15,8.00
8,2015-07-31T16:42:07,10566841,500012480,9761,0,1,-73.90,62.15,8.00
8,2015-07-31T16:42:07,49508310,503847744,11459,0,5,-66.13,68.18,8.00
8,2015-07-31T16:42:07,108048,528430496,14642,0,3,-86.48,67.58,8.00
8,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
8,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.83,41.36,8.00
8,2015-07-31T16:42:07,30136159,539935616,14642,0,2,-79.22,48.19,8.00
8,2015-07-31T16:42:07,26366415,539999680,13421,0,1,-78.74,49.46,8.00
8,2015-07-31T16:42:07,64847492,540062720,14642,0,2,-79.19,48.28,8.00
8,2015-07-31T16:42:07,63382935,540128128,9761,0,2,-81.16,43.10,8.00
8,2015-07-31T16:42:07,54718731,540188864,4880,0,1,-78.18,50.92,8.00
8,2015-07-31T16:42:07,41153804,552997312,13247,0,1,-62.27,64.61,8.00
8,2015-07-31T16:42:07,27354086,577580288,14641,0,4,-73.87,75.10,8.00
8,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
8,2015-07-31T16:42:07,57986540,589865216,4880,0,1,-102.89,95.06,8.00
9,2015-07-31T16:42:07,4111211,500017344,29283,0,1,-73.90,62.15,8.00
9,2015-07-31T16:42:07,41824285,500008800,4880,0,1,-73.90,62.15,8.00
9,2015-07-31T16:42:07,10566841,500012480,9761,0,1,-73.90,62.15,8.00
9,2015-07-31T16:42:07,49508310,503847840,11459,0,5,-66.65,67.23,8.00
9,2015-07-31T16:42:07,108048,528430624,14642,0,3,-85.89,67.32,8.00
9,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
9,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.36,42.59,8.00
9,2015-07-31T16:42:07,30136159,539935360,14642,0,2,-79.76,46.77,8.00
9,2015-07-31T16:42:07,26366415,539999296,13247,0,1,-78.00,51.40,8.00
9,2015-07-31T16:42:07,64847492,540062720,14642,0,2,-79.55,47.34,8.00
9,2015-07-31T16:42:07,63382935,540127872,9761,0,2,-81.30,42.73,8.00
9,2015-07-31T16:42:07,54718731,540188864,4880,0,1,-78.18,50.92,8.00
9,2015-07-31T16:42:07,41153804,552997120,13341,0,5,-66.41,63.99,8.00
9,2015-07-31T16:42:07,27354086,577580544,15727,0,3,-75.45,75.37,8.00
9,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
9,2015-07-31T16:42:07,57986540,589864832,4880,0,1,-102.89,95.06,8.00
10,2015-07-31T16:42:08,4111211,500017344,29283,0,1,-73.90,62.15,8.00
